DRUG PREF NAME	DRUG TRADE NAMES	DRUG CHEMBL ID	DRUG MOLECULE TYPE
['HYDROCORTISONE']	"['Acetasol hc', 'Acticort', 'Aeroseb-hc', 'Ala-cort', 'Ala-scalp', 'Alphaderm', 'Anflam', 'Anucort-Hc', 'Anugesic hc', 'Anusol-Hc', 'Anusol hc', 'Anusol plus hc', 'Anusol soothing relief', 'Balneol-hc', 'Beta-hc', 'Calmurid hc', 'Canesten hc', 'Cetacort', 'Cipro hc', 'Cobadex', 'Colocort', 'Corlan', 'Cort-dome', 'Cortef', 'Cortenem', 'Cortenema', 'Cortril', 'Daktacort', 'Daktacort hydrocort', 'Derma care hydrocort', 'Dermacort', 'Dermaspray demang', 'Dioderm', 'Dome-cort', 'Econacort', 'Efcortelan p', 'Eldecort', 'Epicort', 'Eurax-hc', 'Eurax-hydrocort', 'Evacort', 'Exe-cort', 'Flexicort', 'Germoloids hc', 'Glycort', 'Gregoderm', 'Hc #1', 'Hc #4', 'Hc (hydrocortisone)', 'H-cort', 'Hi-cor', 'Hydrocort in calamine oily', 'Hydrocort in cetomacrogol for a', 'Hydrocort in wte soft paraf', 'Hydrocortisone', 'Hydrocortisone in absorbase', 'Hydrocortone', 'Hydroderm', 'Hydroderm hc', 'Hydro-rx', 'Hytone', 'Jungle for', 'Locoid', 'Medicort', 'Mildison lipocream', 'Nogenic hc', 'Nutracort', 'Nybadex', 'Nystaform-hc', 'Otoseptil', 'Otosporin', 'Penecort', 'Perinal', 'Plenadren', 'Proctocort', 'Proctocream hc', 'Proctofoam hc', 'Proctosedyl', 'Quinocort', 'Sential hc', 'Stie-cort', 'Synacort', 'Terra-cortril nystatin', 'Texacort', 'Timocort', 'Timodine', 'Topisone', 'Tri-cicatrin', 'Uniroid', 'Uniroid hc', 'Xyloproct', 'Zenoxone']"	CHEMBL389621	['Small molecule']
['TRIAMCINOLONE']	"['Aristocort', 'Aristocort A', 'Delphicort', 'Kenacort', 'Kenalog', 'Triamcinolone', 'Volon']"	CHEMBL1451	['Small molecule']
['FLUNISOLIDE']	"['Aerobid', 'Aerospan', 'Aerospan hfa', 'Flunisolide', 'Nasalide', 'Nasarel', 'Syntaris', 'Syntaris hayfever']"	CHEMBL1512	['Small molecule']
['HYDROCORTISONE CYPIONATE']	['Cortef']	CHEMBL1549	['Small molecule']
['CORTISONE ACETATE']	"['Cortate', 'Cortelan', 'Cortisone acetate', 'Cortistab', 'Cortisyl', 'Cortone']"	CHEMBL1650	['Small molecule']
['FLUTICASONE FUROATE']	"['Arnuity ellipta', 'Avamys', 'Flonase sensimist allergy relief', 'Relvar ellipta', 'Trelegy ellipta', 'Veramyst']"	CHEMBL1676	['Small molecule']
['HYDROCORTISONE BUTYRATE']	"['Hydrocortisone butyrate', 'Locoid', 'Locoid c', 'Locoid crelo', 'Locoid lipocream']"	CHEMBL1683	['Small molecule']
['CLOBETASOL PROPIONATE']	"['Clarelux', 'Clobaderm', 'Clobetasol propionate', 'Clobetasol propionate (emollient)', 'Clobex', 'Cormax', 'Dermovate', 'Dermovate nn', 'Embeline', 'Embeline e', 'Etrivex', 'Impeklo', 'Impoyz', 'Olux', 'Olux e', 'Temovate', 'Temovate e']"	CHEMBL1159650	['Small molecule']
['PARAMETHASONE ACETATE']	['Haldrone']	CHEMBL1200342	['Small molecule']
['BETAMETHASONE BENZOATE']	['Uticort']	CHEMBL1200376	['Small molecule']
['BETAMETHASONE DIPROPIONATE']	"['Alphatrex', 'Betamethasone dipropionate', 'Diprolene', 'Diprolene af', 'Diprosone', 'Sernivo']"	CHEMBL1200384	['Small molecule']
['PREDNICARBATE']	"['Dermatop', 'Dermatop e emollient', 'Prednicarbate']"	CHEMBL1200386	['Small molecule']
['TRIAMCINOLONE DIACETATE']	"['Aristocort', 'Kenacort', 'Triamcinolone diacetate']"	CHEMBL1200449	['Small molecule']
['HYDROCORTISONE SODIUM SUCCINATE']	"['A-hydrocort', 'Hcss', 'Hydrocortisone sodium succinate', 'Solu-cortef']"	CHEMBL1200495	['Small molecule']
['BETAMETHASONE ACETATE']	[]	CHEMBL1200538	['Small molecule']
['DIFLORASONE DIACETATE']	"['Diflorasone diacetate', 'Florone', 'Florone e', 'Psorcon', 'Psorcon e']"	CHEMBL1200545	['Small molecule']
['HYDROCORTISONE VALERATE']	"['Hydrocortisone valerate', 'Westcort']"	CHEMBL1200562	['Small molecule']
['FLUOROMETHOLONE']	"['Fluaton', 'Fluor-op', 'Fml forte', 'Fml fte', 'Fml-neo', 'Oxylone']"	CHEMBL1200600	['Small molecule']
['RIMEXOLONE']	['Vexol']	CHEMBL1200617	['Small molecule']
['HYDROCORTAMATE HYDROCHLORIDE']	['Magnacort']	CHEMBL1200635	['Small molecule']
['AMCINONIDE']	"['Amcinonide', 'Cyclocort']"	CHEMBL1200732	['Small molecule']
['BETAMETHASONE SODIUM PHOSPHATE']	"['Betamethasone sodium phosphate', 'Betam-ophtal', 'Betnesol', 'Betnesol-n', 'Celestone', 'Vistamethasone', 'Vistamethasone n']"	CHEMBL1200762	['Small molecule']
['FLUPREDNISOLONE']	['Alphadrol']	CHEMBL1200774	['Small molecule']
['HALCINONIDE']	"['Halog', 'Halog-e']"	CHEMBL1200845	['Small molecule']
['FLUMETHASONE PIVALATE']	"['Locorten', 'Locorten-vioform']"	CHEMBL1200877	['Small molecule']
['TRIAMCINOLONE HEXACETONIDE']	"['Aristospan', 'Lederspan']"	CHEMBL1200878	['Small molecule']
['HALOBETASOL PROPIONATE']	"['Bryhali', 'Halobetasol propionate', 'Lexette', 'Ultravate']"	CHEMBL1200908	['Small molecule']
['PREDNISOLONE TEBUTATE']	"['Hydeltra-tba', 'Prednisolone tebutate']"	CHEMBL1200909	['Small molecule']
['HYDROCORTISONE PROBUTATE']	['Pandel']	CHEMBL1200953	['Small molecule']
['HYDROCORTISONE SODIUM PHOSPHATE']	"['Efcortesol', 'Hydrocortone']"	CHEMBL1200968	['Small molecule']
['CLOCORTOLONE PIVALATE']	['Cloderm']	CHEMBL1200975	['Small molecule']
['ALCLOMETASONE DIPROPIONATE']	"['Aclovate', 'Alclometasone dipropionate', 'Modrasone']"	CHEMBL1200989	['Small molecule']
['FLURANDRENOLIDE']	"['Cordran', 'Cordran sp', 'Flurandrenolide', 'Haelan', 'Haelan-c', 'Haelan-x']"	CHEMBL1201012	['Small molecule']
['PREDNISOLONE SODIUM PHOSPHATE']	"['Codelsol', 'Cortisate', 'Hydeltrasol', 'Inflamase', 'Inflamase forte', 'Inflamase mild', 'Metreton', 'Orapred', 'Orapred odt', 'Pediapred', 'Predair', 'Predair forte', 'Prednisolone sodium phosphate', 'Predsol', 'Predsol-n']"	CHEMBL1201014	['Small molecule']
['FLUOROMETHOLONE ACETATE']	['Flarex']	CHEMBL1201064	['Small molecule']
['METHYLPREDNISOLONE SODIUM SUCCINATE']	"['A-methapred', 'Methylprednisolone', 'Methylprednisolone sodium succinate', 'Min-i-mix', 'Solu-medrol', 'Solu-medrone', 'Urbasone']"	CHEMBL1201081	['Small molecule']
['MEPREDNISONE']	['Betapar']	CHEMBL1201148	['Small molecule']
['DIFLUPREDNATE']	['Durezol']	CHEMBL1201749	['Small molecule']
['DEFLAZACORT']	"['Calcort', 'Emflaza', 'Zamene']"	CHEMBL1201891	['Small molecule']
['MIFEPRISTONE']	"['Korlym', 'Mifegyne', 'Mifeprex']"	CHEMBL1276308	['Small molecule']
['DEXAMETHASONE ACETATE']	"['Decadron', 'Decadron-la', 'Dexamethasone acetate']"	CHEMBL1530428	['Small molecule']
['BETAMETHASONE']	"['Alphatrex', 'Betasolan', 'Betatrex', 'Betnelan', 'Celestone', 'Dermabet', 'Uticort']"	CHEMBL632	['Small molecule']
['PREDNISONE']	"['Cortan', 'Cortancyl', 'Decortisyl', 'Delta-dome', 'Deltasone', 'Fernisone', 'Liquid pred', 'Lodotra', 'Meticorten', 'Orasone', 'Paracort', 'Prednicen-m', 'Prednisone', 'Prednisone intensol', 'Rayos', 'Servisone', 'Sterapred']"	CHEMBL635	['Small molecule']
['PREDNISOLONE']	"['Cortalone', 'Dekotil', 'Delta-cortef', 'Deltacortril', 'Deltalone', 'Dilacort', 'Fernisolone-p', 'Hydeltra', 'Meticortelone', 'Meti-derm', 'Pevanti', 'Precortisyl', 'Precortisyl fte', 'Prednisolone', 'Prelone', 'Scheriproct', 'Servisone', 'Sterane']"	CHEMBL131	['Small molecule']
['METHYLPREDNISOLONE']	"['Medrol', 'Medrone', 'Methylprednisolone']"	CHEMBL650	['Small molecule']
['PREDNISOLONE ACETATE']	"['Econopred', 'Flo-pred', 'Meticortelone', 'Omnipred', 'Pred forte', 'Pred fte', 'Pred mild', 'Prednisolone acetate', 'Sterane', 'Ultracortenol']"	CHEMBL1152	['Small molecule']
['CYPROTERONE ACETATE']	"['Androcur', 'Androcur 10', 'Cyprostat', 'Diane']"	CHEMBL139835	['Small molecule']
['FLUTICASONE PROPIONATE']	"['Aerivio spiromax', 'Airflusal forspiro', 'Armonair digihaler', 'Armonair respiclick', 'Cutivate', 'Flixonase', 'Flixotide', 'Flonase', 'Flonase allergy relief', 'Flovent', 'Flovent diskus 100', 'Flovent diskus 250', 'Flovent diskus 50', 'Flovent hfa', 'Fluticasone propionate', 'Flutiform', 'Nasofan', 'Pirinase', 'Sereflo', 'Seretide 100', 'Seretide 125', 'Seretide 250', 'Seretide 50', 'Seretide 500', 'Sirdupla', 'Xhance']"	CHEMBL1473	['Small molecule']
['BETAMETHASONE VALERATE']	"['Audavate', 'Audavate rd', 'Betacap', 'Betaderm', 'Betamethasone valerate', 'Betameth val in coal tar', 'Betatrex', 'Beta-val', 'Betesil', 'Betnovate-c', 'Betnovate-n', 'Betnovate rd', 'Bettamousse', 'Bextasol', 'Dermabet', 'Fucibet', 'Luxiq', 'Valisone', 'Valnac', 'Xemacort']"	CHEMBL1497	['Small molecule']
['FLUOCINONIDE']	"['Fluocinonide', 'Fluocinonide emulsified base', 'Lidex', 'Lidex-e', 'Metosyn', 'Metosyn fapg', 'Vanos']"	CHEMBL1501	['Small molecule']
['TRIAMCINOLONE ACETONIDE']	"['Adcortyl', 'Adcortyl in orabase', 'Allernaze', 'Aristocort', 'Aristocort a', 'Aristogel', 'Audicort', 'Aureocort', 'Azmacort', 'Flutex', 'Gppe ear dps cap', 'Gppe ear oint', 'Kenacort', 'Kenalog', 'Kenalog-10', 'Kenalog-40', 'Kenalog-80', 'Kenalog-h', 'Kenalog in orabase', 'Nasacort', 'Nasacort allergy 24 hour', 'Nasacort aq', 'Nasacort hfa', 'Nystadermal', 'Oracort', 'Oralone', 'Pevaryl t.c.', 'Remiderm', 'Remotic', 'Silderm', 'Triacet', 'Triacort', 'Tri-adcortyl', 'Triamcinolone acetonide', 'Triamcinolone acetonide in absorbase', 'Triatex', 'Triderm', 'Triesence', 'Tri-Nasal', 'Trivaris', 'Trymex', 'Vetalog', 'Zilretta']"	CHEMBL1504	['Small molecule']
['DESOXIMETASONE']	"['Desoximetasone', 'Stiedex', 'Stiedex lp', 'Stiedex lpn', 'Topicort', 'Topicort lp']"	CHEMBL1766	['Small molecule']
['BECLOMETHASONE DIPROPIONATE']	"['Aerobec 100', 'Aerobec 50', 'Aerobec fte 250', 'Asmabec clickhaler', 'Asmabec spacehaler', 'Beclazone 100', 'Beclazone 100 e-breathe', 'Beclazone 200', 'Beclazone 250', 'Beclazone 250 e-breathe', 'Beclazone 50', 'Beclazone 50 e-breathe', 'Becloaqua 50', 'Becloforte', 'Becloforte e-breathe', 'Becloforte integra', 'Becloforte-vm', 'Beclomet diprop', 'Beclomet hayfever', 'Beclomist', 'Beclotaide', 'Beclovent', 'Becodisks', 'Beconase', 'Beconase aq', 'Becotide', 'Becotide 100', 'Becotide 100 e-breathe', 'Becotide 200', 'Becotide 50', 'Becotide 50 e-breathe', 'Clenil modulite', 'Clipper', 'Filair 100', 'Filair 50', 'Filair fte', 'Fostair', 'Fostair nexthaler', 'Nasobec aq', 'Nasobec hayfever', 'Propaderm', 'Propaderm-a', 'Propaderm-c', 'Propaderm fte', 'Pulvinal beclomet', 'Qnasl', 'Qvar 100', 'Qvar 100 e-breathe', 'Qvar 40', 'Qvar 50', 'Qvar 50 e-breathe', 'Qvar 80', 'Qvar redihaler', 'Rino clenil', 'Vancenase', 'Vancenase aq', 'Vancenase pockethaler', 'Vanceril', 'Vanceril double strength', 'Ventide', 'Vivabec', 'Zonivent aquanasal']"	CHEMBL1200500	['Small molecule']
['LOTEPREDNOL ETABONATE']	"['Airex', 'Alrex', 'Inveltys', 'Lotemax', 'Lotemax sm']"	CHEMBL1200865	['Small molecule']
['DESONIDE']	"['Desonate', 'Desonide', 'Desowen', 'Tridesilon', 'Verdeso']"	CHEMBL1201109	['Small molecule']
['MEDRYSONE']	[]	CHEMBL1201173	['Small molecule']
['METHYLPREDNISOLONE ACETATE']	"['Depmedalone', 'Depo-medrol', 'Depo-medrone', 'Medrol', 'Medrol acetate', 'Methylprednisolone acetate', 'M-predrol', 'Neo-medrone']"	CHEMBL1364144	['Small molecule']
['DEXAMETHASONE SODIUM PHOSPHATE']	"['Decadron', 'Dexacen-4', 'Dexacort', 'Dexair', 'Dexamethasone', 'Dexamethasone sodium phosphate', 'Dexamethasone sodium phosphate preservative free', 'Hexadrol', 'Maxidex']"	CHEMBL2021430	['Small molecule']
['CICLESONIDE']	"['Alvesco', 'Alvesco 160', 'Alvesco 80', 'Omnaris', 'Zetonna']"	CHEMBL2040682	['Small molecule']
['CORTIVAZOL']	['Altim']	CHEMBL2105842	['Small molecule']
['CALCITRIOL']	"['Calcijex', 'Calcitriol', 'Dihydroxycholecalciferol', 'Dihydroxyvitamin D 3', 'Rocaltrol', 'Silkis', 'Topitriol', 'Vectical']"	CHEMBL846	['Small molecule']
['CHOLECALCIFEROL']	"['Accrete d3', 'Aciferol d3', 'Adcal-d3', 'Aviticol', 'Biolife vitamin d3', 'Bio-vitamin d3', 'Cacit d3', 'Calceos', 'Calcichew d3', 'Calcichew d3 fte', 'Calcichew d3 once daily', 'Calci-d', 'Caldrink d3', 'Calfovit d3', 'Colecalciferol', 'Colecal d3', 'Colekal-d3', 'Colevit d3', 'Cubicole d3', 'D3-50', 'D3 lemon melts', 'Dekristol', 'Desunin', 'Dihydrocholesterol', 'Dlux 400', 'D-max', 'D-tracetten', 'D-vit3', 'E-d3', 'Evacal d3', 'Fultium-d3', 'Fultium daily d3', 'Hux d3', 'Invita d3', 'Iso d3', 'Kora liquid', 'Natecal d3', ""Nature's remedy vitamin d3"", 'Neo-d', 'Nphd3', 'Osteocaps d3', 'Plenachol', 'Pro d3', 'Pro d3 folic', 'Pro d3 forte', 'Royalvit d3', 'Stexerol-d3', 'Stivit-d3', 'Sunvit-d3 1,000', 'Sunvit-d3 10,000', 'Sunvit-d3 2,000', 'Sunvit-d3 20,000', 'Sunvit-d3 3,000', 'Sunvit-d3 400', 'Sunvit-d3 5,000', 'Sunvit-d3 50,000', 'Sunvit-d3 800', 'Synervit-d3', 'Theical d-3', 'Thorens', 'Vigantol', 'Vigantoletten', 'Vigantoletten 500', 'Vita-d3', 'Vitamin D 3', 'Vit d3 streuli', 'Zymad']"	CHEMBL1042	['Small molecule']
['ERGOCALCIFEROL']	"['Calciferol', 'Calciferol in arach oil', 'Caltrate', 'Deltalin', 'D-forte', 'Drisdol', 'Eciferol d2', 'Ergocalciferol', 'Ergo-d2', 'Ergoral d2', 'Lanes', 'Oleovitamin D', 'Osto-d2', 'Sterogyl', 'Sterogyl-15', 'Sterogyl 15h', 'Uvesterol d', 'Vitamin d', 'Vitamin D 2']"	CHEMBL1536	['Small molecule']
['PARICALCITOL']	"['Paricalcitol', 'Zemplar']"	CHEMBL1200622	['Small molecule']
['CALCIPOTRIENE']	"['Calcipotriene', 'Dovobet', 'Dovonex', 'Enstilar', 'Sorilux', 'Xamiol']"	CHEMBL1200666	['Small molecule']
['DOXERCALCIFEROL']	"['Doxercalciferol', 'Hectorol']"	CHEMBL1200810	['Small molecule']
['ALFACALCIDOL']	"['Alfa d', 'Etalpha', 'One-alpha']"	CHEMBL1601669	['Small molecule']
['DIHYDROTACHYSTEROL']	"['A.t. 10', 'Dihydral', 'Dygratyl', 'Hytakerol', 'Tachyrol']"	CHEMBL2356023	['Small molecule']
['CALCIFEDIOL']	"['Calderol', 'Rayaldee']"	CHEMBL3544909	['Small molecule']
['BEZAFIBRATE']	"['Bezagen xl', 'Bezalip', 'Bezalip-mono', 'Fibrazate xl', 'Liparol xl', 'Zimbacol xl']"	CHEMBL264374	['Small molecule']
['DANTHRON']	"['Dorbane', 'Istizin']"	CHEMBL53418	['Small molecule']
['LASOFOXIFENE']	[]	CHEMBL328190	['Small molecule']
['CYCLOFENIL']	"['Neoclym', 'Rehibin']"	CHEMBL141305	['Small molecule']
['FULVESTRANT']	['Faslodex']	CHEMBL1358	['Small molecule']
['ESTRIOL']	"['Gynest', 'Ortho-gynest', 'Ovestin', 'Theelol']"	CHEMBL193482	['Small molecule']
