	EntityA	EntityB	Effect	Mechanism
14081	ATF1	FTH1	down-regulates quantity by repression	transcriptional regulation
8413	ATF1	IL10	up-regulates quantity by expression	transcriptional regulation
8414	ATF1	PCSK1	up-regulates quantity by expression	transcriptional regulation
8417	ATF2	IL6	up-regulates	transcriptional regulation
8422	ATF2	ST3GAL5	up-regulates quantity by expression	transcriptional regulation
8415	ATF2	FGF21	up-regulates quantity by expression	transcriptional regulation
8416	ATF2	GCH1	up-regulates quantity by expression	transcriptional regulation
8418	ATF2	PLAT	up-regulates quantity by expression	transcriptional regulation
8420	ATF2	POLB	up-regulates quantity by expression	transcriptional regulation
8424	ATF3	GDF15	up-regulates quantity by expression	transcriptional regulation
8423	ATF3	ASNS	up-regulates quantity by expression	transcriptional regulation
8425	ATF3	PCLAF	up-regulates quantity by expression	transcriptional regulation
8432	ATF4	NUPR1	up-regulates quantity by expression	transcriptional regulation
8433	ATF4	PPP1R15A	up-regulates quantity by expression	transcriptional regulation
8434	ATF4	SIGMAR1	up-regulates quantity by expression	transcriptional regulation
8430	ATF4	FGF21	up-regulates quantity by expression	transcriptional regulation
8429	ATF4	FGF19	up-regulates quantity by expression	transcriptional regulation
8428	ATF4	DDIT4	up-regulates quantity by expression	transcriptional regulation
8431	ATF4	NLRP1 inflammasome	up-regulates quantity by expression	transcriptional regulation
8426	ATF4	ASNS	down-regulates quantity by repression	transcriptional regulation
3295	ATF4	HSPA5	down-regulates quantity by repression	transcriptional regulation
3294	ATF4	DDIT3	up-regulates quantity by expression	transcriptional regulation
8427	ATF4	ASNS	up-regulates quantity by expression	transcriptional regulation
8435	ATF5	CYP2B6	up-regulates quantity by expression	transcriptional regulation
8441	ATF6	HYOU1	up-regulates quantity by expression	transcriptional regulation
8443	ATF6	XBP-1S	up-regulates quantity by expression	transcriptional regulation
8439	ATF6	DDIT3	up-regulates quantity by expression	transcriptional regulation
8440	ATF6	HSPA5	up-regulates quantity by expression	transcriptional regulation
8442	ATF6	NUCB1	up-regulates quantity by expression	transcriptional regulation
8436	ATF6B	HSPA5	up-regulates quantity by expression	transcriptional regulation
8585	ATOH1	HES6	up-regulates quantity by expression	transcriptional regulation
3321	ATOH1	MUC2	up-regulates quantity by expression	transcriptional regulation
8586	ATOH7	POU4F2	up-regulates quantity by expression	transcriptional regulation
6298	BACH1	HMOX1	down-regulates quantity	transcriptional regulation
8789	BACH1	GAPDH	up-regulates quantity	transcriptional regulation
8790	BACH1	HK2	up-regulates quantity	transcriptional regulation
8793	BACH2	XBP1	down-regulates quantity by repression	transcriptional regulation
8843	BCL11A	HBG1	down-regulates quantity by repression	transcriptional regulation
8844	BCL11A	HBG2	down-regulates quantity by repression	transcriptional regulation
8884	BCL6	LITAF	down-regulates quantity by repression	transcriptional regulation
8882	BCL6	CD80	down-regulates quantity by repression	transcriptional regulation
8883	BCL6	FCER2	down-regulates quantity by repression	transcriptional regulation
8885	BCL6	SUMO1	down-regulates quantity by repression	transcriptional regulation
8979	BHLHE40	PER2	down-regulates quantity by repression	transcriptional regulation
8978	BHLHE40	BHLHE41	down-regulates quantity by repression	transcriptional regulation
8977	BHLHE40	BHLHE40	down-regulates quantity by repression	transcriptional regulation
8980	BHLHE41	BHLHE40	down-regulates quantity by repression	transcriptional regulation
9462	CAMTA1	NPPA	up-regulates quantity by expression	transcriptional regulation
10545	CDX1	VIL1	up-regulates quantity by expression	transcriptional regulation
10558	CDX2	VIL1	up-regulates quantity by expression	transcriptional regulation
10552	CDX2	LCT	up-regulates quantity by expression	transcriptional regulation
10553	CDX2	MEP1A	up-regulates quantity by expression	transcriptional regulation
10555	CDX2	TFF3	up-regulates quantity by expression	transcriptional regulation
10556	CDX2	UGT1A10	up-regulates quantity by expression	transcriptional regulation
10557	CDX2	UGT1A8	up-regulates quantity by expression	transcriptional regulation
10551	CDX2	INS	up-regulates quantity by expression	transcriptional regulation
10550	CDX2	FUT2	up-regulates quantity by expression	transcriptional regulation
10554	CDX2	MUC2	up-regulates quantity by expression	transcriptional regulation
10548	CDX2	CDH17	up-regulates quantity by expression	transcriptional regulation
10578	CEBPA	STAR	up-regulates quantity by expression	transcriptional regulation
10577	CEBPA	SPI1	up-regulates quantity by expression	transcriptional activation
10576	CEBPA	SOX4	down-regulates	transcriptional regulation
10575	CEBPA	SFTPD	up-regulates quantity by expression	transcriptional regulation
10574	CEBPA	S100A9	up-regulates quantity by expression	transcriptional regulation
10573	CEBPA	PER2	up-regulates quantity by expression	transcriptional regulation
10572	CEBPA	MYC	down-regulates quantity by repression	transcriptional regulation
10569	CEBPA	HAMP	up-regulates quantity by expression	transcriptional regulation
10566	CEBPA	GFI1	up-regulates quantity by expression	transcriptional activation
10565	CEBPA	F9	up-regulates quantity by expression	transcriptional regulation
10562	CEBPA	CEBPA	up-regulates quantity	transcriptional regulation
5717	CEBPA	SPI1	up-regulates quantity by expression	transcriptional regulation
5873	CEBPA	FTO	up-regulates quantity by expression	transcriptional regulation
10564	CEBPA	ELANE	up-regulates quantity by expression	transcriptional regulation
10596	CEBPB	S100A9	up-regulates quantity by expression	transcriptional regulation
10594	CEBPB	PPARG	up-regulates quantity	transcriptional regulation
10597	CEBPB	SFTPD	up-regulates quantity by expression	transcriptional regulation
10591	CEBPB	KLF5	up-regulates quantity by expression	transcriptional regulation
10599	CEBPB	SLC5A8	up-regulates quantity by expression	transcriptional regulation
10590	CEBPB	IL10	up-regulates quantity by expression	transcriptional regulation
10600	CEBPB	SREBF1	up-regulates quantity	transcriptional regulation
10601	CEBPB	STAR	up-regulates quantity by expression	transcriptional regulation
10602	CEBPB	TNFAIP6	up-regulates quantity by expression	transcriptional regulation
10598	CEBPB	SLC19A1	up-regulates quantity by expression	transcriptional regulation
10589	CEBPB	GOT1	up-regulates quantity by expression	transcriptional regulation
10593	CEBPB	PCK2	up-regulates quantity by expression	transcriptional regulation
10587	CEBPB	GDF15	up-regulates quantity by expression	transcriptional regulation
10585	CEBPB	CSRP1	up-regulates quantity by expression	transcriptional regulation
10584	CEBPB	C3	up-regulates quantity by expression	transcriptional regulation
10583	CEBPB	ADM	up-regulates quantity by expression	transcriptional regulation
10580	CEBPB	ABCB1	up-regulates quantity by expression	transcriptional regulation
10588	CEBPB	GFER	down-regulates quantity by repression	transcriptional regulation
10610	CEBPD	TNFAIP6	up-regulates quantity by expression	transcriptional regulation
10609	CEBPD	SOD1	up-regulates quantity by expression	transcriptional regulation
10608	CEBPD	PPARG	up-regulates quantity by expression	transcriptional regulation
10607	CEBPD	MSTN	up-regulates quantity by expression	transcriptional regulation
10606	CEBPD	KLF5	up-regulates quantity by expression	transcriptional regulation
10604	CEBPD	CXCL1	up-regulates quantity by expression	transcriptional regulation
10603	CEBPD	CCL20	up-regulates quantity by expression	transcriptional regulation
10605	CEBPD	IL23A	up-regulates quantity by expression	transcriptional regulation
10612	CEBPE	LTF	up-regulates quantity by expression	transcriptional regulation
10613	CEBPG	LTF	up-regulates quantity by expression	transcriptional regulation
10614	CEBPG	SFTPD	up-regulates quantity by expression	transcriptional regulation
10884	CLOCK	NR3C1	down-regulates quantity by repression	transcriptional regulation
10886	CLOCK	PER2	up-regulates quantity by expression	transcriptional regulation
10887	CLOCK	PER3	up-regulates quantity by expression	transcriptional regulation
10883	CLOCK	NR0B2	up-regulates quantity by expression	transcriptional regulation
10881	CLOCK	DPYD	up-regulates quantity by expression	transcriptional regulation
10885	CLOCK	PER1	up-regulates quantity by expression	transcriptional regulation
10879	CLOCK	CRY1	up-regulates quantity by expression	transcriptional regulation
10880	CLOCK	CRY2	up-regulates quantity by expression	transcriptional regulation
11054	CREB1	SNAI1	down-regulates quantity by repression	transcriptional regulation
11052	CREB1	PPARGC1A	up-regulates quantity by expression	transcriptional regulation
11051	CREB1	PLAT	down-regulates quantity by repression	transcriptional regulation
11050	CREB1	PKM	up-regulates quantity by expression	transcriptional regulation
11039	CREB1	MUC4	up-regulates quantity by expression	transcriptional regulation
11047	CREB1	PCK1	up-regulates quantity	transcriptional regulation
11046	CREB1	PAX3	up-regulates quantity by expression	transcriptional regulation
11045	CREB1	NR4A3	up-regulates quantity by expression	transcriptional regulation
11044	CREB1	NR2F6	down-regulates quantity by repression	transcriptional regulation
11042	CREB1	NR2F1	down-regulates quantity by repression	transcriptional regulation
11041	CREB1	MYOD1	up-regulates quantity by expression	transcriptional regulation
11040	CREB1	MYF5	up-regulates quantity by expression	transcriptional regulation
11055	CREB1	SNAI2	down-regulates quantity by repression	transcriptional regulation
11048	CREB1	PCSK1	up-regulates quantity by expression	transcriptional regulation
11037	CREB1	GCH1	up-regulates quantity by expression	transcriptional regulation
11036	CREB1	G6PC	up-regulates quantity	transcriptional regulation
14168	CREB1	HES1	up-regulates quantity by expression	transcriptional regulation
6808	CREB1	IL10	up-regulates quantity by expression	transcriptional regulation
11025	CREB1	BCL2L1	up-regulates quantity by expression	transcriptional regulation
11026	CREB1	BCL2	up-regulates quantity by expression	transcriptional regulation
11038	CREB1	MITF	up-regulates quantity by expression	transcriptional regulation
11028	CREB1	CEBPB	up-regulates quantity by expression	transcriptional regulation
11030	CREB1	CTNNB1	up-regulates quantity by expression	transcriptional regulation
11031	CREB1	CYP19A1	up-regulates quantity by expression	transcriptional regulation
11032	CREB1	FOS	up-regulates quantity by expression	transcriptional regulation
11035	CREB1	FST	up-regulates quantity by expression	transcriptional regulation
11029	CREB1	CHGA	up-regulates quantity by expression	transcriptional regulation
11057	CREB1	UXT	up-regulates quantity by expression	transcriptional regulation
11059	CREB3	HERPUD1	up-regulates quantity by expression	transcriptional regulation
11076	CREB5	TNFRSF11B	down-regulates quantity by repression	transcriptional regulation
11075	CREB5	TGFBR3	up-regulates quantity by expression	transcriptional regulation
11073	CREB5	RDX	down-regulates quantity by repression	transcriptional regulation
11072	CREB5	RASGRP3	down-regulates quantity by repression	transcriptional regulation
11071	CREB5	MX1	up-regulates quantity by expression	transcriptional regulation
11070	CREB5	MAPKAPK3	up-regulates quantity by expression	transcriptional regulation
11069	CREB5	LY96	down-regulates quantity by repression	transcriptional regulation
11068	CREB5	LGALS3BP	down-regulates quantity by repression	transcriptional regulation
11074	CREB5	STAT1	down-regulates quantity by repression	transcriptional regulation
11065	CREB5	DGKG	up-regulates quantity by expression	transcriptional regulation
11064	CREB5	DGKG	down-regulates quantity by repression	transcriptional regulation
11062	CREB5	CFB	up-regulates quantity by expression	transcriptional regulation
11061	CREB5	ATP6V0E1	up-regulates quantity by expression	transcriptional regulation
11093	CREBL2	CEBPA	up-regulates quantity by expression	transcriptional regulation
11094	CREBL2	PPARG	up-regulates quantity by expression	transcriptional regulation
11096	CREM	IL2	down-regulates quantity by repression	transcriptional regulation
11123	CRX	BEST1	up-regulates quantity by expression	transcriptional regulation
11124	CRX	RBP3	down-regulates quantity by repression	transcriptional regulation
11125	CRX	RBP3	up-regulates quantity by expression	transcriptional regulation
11126	CRX	RHO	down-regulates quantity by repression	transcriptional regulation
11127	CRX	RS1	up-regulates quantity by expression	transcriptional regulation
11811	CTCF	TERT	down-regulates quantity by repression	transcriptional regulation
11806	CTCF	APP	up-regulates quantity by expression	transcriptional regulation
11807	CTCF	BCL6	down-regulates quantity by repression	transcriptional regulation
11808	CTCF	MGAT5B	up-regulates quantity by expression	transcriptional regulation
11809	CTCF	MYC	down-regulates quantity by repression	transcriptional regulation
11810	CTCF	RARRES1	up-regulates quantity by expression	transcriptional regulation
11805	CTCFL	BAG1	up-regulates quantity by expression	transcriptional regulation
11994	CUX1	PIK3IP1	down-regulates quantity by repression	transcriptional regulation
12221	DACH2	MYOG	down-regulates quantity by repression	transcriptional regulation
12285	DBP	ALDOB	up-regulates quantity by expression	transcriptional regulation
12286	DBP	CYP3A4	up-regulates quantity by expression	transcriptional regulation
12287	DBP	CYP7A1	up-regulates quantity by expression	transcriptional regulation
12305	DDIT3	TRIB3	up-regulates quantity by expression	transcriptional regulation
12304	DDIT3	PPP1R15A	up-regulates quantity by expression	transcriptional regulation
12302	DDIT3	CEBPA	down-regulates quantity	transcriptional regulation
12303	DDIT3	CEBPB	down-regulates quantity	transcriptional regulation
12299	DDIT3	ANKRD1	down-regulates quantity by repression	transcriptional regulation
12301	DDIT3	ASNS	down-regulates quantity by repression	transcriptional regulation
12323	DEAF1	HTR1A	down-regulates quantity by repression	transcriptional regulation
12454	DLX2	ARX	up-regulates quantity by expression	transcriptional regulation
12457	DLX3	RUNX2	up-regulates quantity by expression	transcriptional regulation
12462	DLX5	RUNX2	up-regulates quantity by expression	transcriptional regulation
12463	DLX5	SPP1	up-regulates quantity	transcriptional regulation
8243	DLX5	MYC	up-regulates quantity	transcriptional regulation
12474	DMTF1	THBS1	up-regulates quantity by expression	transcriptional regulation
12473	DMTF1	MBD1	up-regulates quantity by expression	transcriptional regulation
12471	DMTF1	GAS1	down-regulates quantity by repression	transcriptional regulation
12472	DMTF1	JUNB	up-regulates quantity by expression	transcriptional regulation
12469	DMTF1	ECT2	down-regulates quantity by repression	transcriptional regulation
12468	DMTF1	BCL3	up-regulates quantity by expression	transcriptional regulation
12467	DMTF1	AREG	up-regulates quantity by expression	transcriptional regulation
12466	DMTF1	ADM	up-regulates quantity by expression	transcriptional regulation
12470	DMTF1	EGR1	up-regulates quantity by expression	transcriptional regulation
12502	DNMT1	GAD1	down-regulates quantity by repression	transcriptional regulation
12505	DNMT1	RELN	down-regulates quantity by repression	transcriptional regulation
12504	DNMT1	MBD2	down-regulates quantity by repression	transcriptional regulation
12503	DNMT1	IL32	down-regulates quantity by repression	transcriptional regulation
12501	DNMT1	ESR1	down-regulates quantity by repression	transcriptional regulation
12497	DNMT1	BAG3	up-regulates quantity by expression	transcriptional regulation
12498	DNMT1	BAG4	up-regulates quantity by expression	transcriptional regulation
12496	DNMT1	BAG1	up-regulates quantity by expression	transcriptional regulation
12580	DOT1L	BCL2	up-regulates quantity by expression	transcriptional activation
12581	DOT1L	HOXA9	up-regulates quantity by expression	transcriptional activation
12582	DOT1L	MCL1	up-regulates quantity by expression	transcriptional activation
12583	DOT1L	MEIS1	up-regulates quantity by expression	transcriptional activation
3635	DUX4	HEY1	up-regulates quantity by expression	transcriptional regulation
12698	DUX4	PITX1	up-regulates quantity by expression	transcriptional regulation
12803	E2F1	PPARG	up-regulates quantity by expression	transcriptional regulation
12805	E2F1	RASGEF1B	up-regulates quantity by expression	transcriptional regulation
12806	E2F1	RRM1	up-regulates quantity by expression	transcriptional regulation
12809	E2F1	TLR3	down-regulates quantity by repression	transcriptional regulation
3657	E2F1	DHFR	up-regulates quantity by expression	transcriptional regulation
3653	E2F1	CDC25A	up-regulates quantity by expression	transcriptional regulation
3655	E2F1	CTNND2	up-regulates quantity by expression	transcriptional regulation
3656	E2F1	CyclinE/CDK2	up-regulates quantity by expression	transcriptional regulation
12802	E2F1	PCNA	up-regulates quantity by expression	transcriptional regulation
3658	E2F1	RASGRP1	up-regulates quantity by expression	transcriptional regulation
3659	E2F1	SERPINB5	up-regulates quantity by expression	transcriptional regulation
12810	E2F1	TYMS	up-regulates quantity by expression	transcriptional regulation
12801	E2F1	NOX4	up-regulates quantity by expression	transcriptional regulation
12804	E2F1	PPARG	up-regulates	transcriptional regulation
12799	E2F1	MUC4	up-regulates quantity by expression	transcriptional regulation
12782	E2F1	ABCB1	up-regulates quantity by expression	transcriptional regulation
12783	E2F1	ATM	up-regulates quantity by expression	transcriptional regulation
12784	E2F1	BBC3	up-regulates quantity by expression	transcriptional regulation
12785	E2F1	CCNE1	up-regulates quantity by expression	transcriptional regulation
12787	E2F1	CD2AP	up-regulates quantity by expression	transcriptional regulation
12788	E2F1	CDK1	up-regulates activity	transcriptional regulation
12800	E2F1	MYBL2	up-regulates quantity by expression	transcriptional regulation
12795	E2F1	ISYNA1	up-regulates quantity by expression	transcriptional regulation
12798	E2F1	MT1G	up-regulates quantity by expression	transcriptional regulation
12797	E2F1	MCPH1	up-regulates quantity by expression	transcriptional regulation
12796	E2F1	LRBA	up-regulates quantity by expression	transcriptional regulation
12789	E2F1	ELF4	up-regulates quantity by expression	transcriptional regulation
12794	E2F1	HSPA5	down-regulates quantity by repression	transcriptional regulation
12793	E2F1	HIC1	up-regulates quantity by expression	transcriptional regulation
12811	E2F2	CCNE1	up-regulates quantity by expression	transcriptional regulation
12815	E2F4	PPARG	down-regulates	transcriptional regulation
12814	E2F4	PPARG	down-regulates quantity by repression	transcriptional regulation
12816	E2F5	CBX5	down-regulates quantity by repression	transcriptional regulation
13008	EGR1	COL11A1	up-regulates quantity by expression	transcriptional regulation
13007	EGR1	COL10A1	up-regulates quantity by expression	transcriptional regulation
13009	EGR1	COL4A1	up-regulates quantity by expression	transcriptional regulation
13012	EGR1	FAS	down-regulates quantity by repression	transcriptional regulation
13006	EGR1	CHGA	up-regulates quantity by expression	transcriptional regulation
3687	EGR1	COL7A1	up-regulates quantity by expression	transcriptional regulation
3686	EGR1	COL4A2	up-regulates quantity by expression	transcriptional regulation
13010	EGR1	CYP2B6	up-regulates quantity by expression	transcriptional regulation
13011	EGR1	FAP	up-regulates quantity by expression	transcriptional regulation
13025	EGR1	SLC4A2	up-regulates quantity by expression	transcriptional regulation
13013	EGR1	FCER2	down-regulates quantity by repression	transcriptional regulation
13028	EGR1	TBXA2R	up-regulates quantity by expression	transcriptional regulation
13027	EGR1	SOD1	up-regulates quantity by expression	transcriptional regulation
13026	EGR1	SLC9A3	up-regulates quantity by expression	transcriptional regulation
13024	EGR1	PTGES	up-regulates quantity by expression	transcriptional regulation
13022	EGR1	PDGFC	up-regulates quantity by expression	transcriptional regulation
13020	EGR1	NAB2	up-regulates quantity by expression	transcriptional regulation
13021	EGR1	PCSK2	up-regulates quantity by expression	transcriptional regulation
13018	EGR1	LHB	up-regulates quantity by expression	transcriptional regulation
13017	EGR1	HYAL1	up-regulates quantity by expression	transcriptional regulation
13016	EGR1	HSD11B2	down-regulates quantity by repression	transcriptional regulation
13005	EGR1	BCAR1	up-regulates quantity by expression	transcriptional regulation
13004	EGR1	ABCB1	up-regulates quantity by expression	transcriptional regulation
13014	EGR1	GDF15	up-regulates quantity by expression	transcriptional regulation
13015	EGR1	HPSE	up-regulates quantity by expression	transcriptional regulation
13032	EGR2	NAB2	down-regulates quantity by repression	transcriptional regulation
13029	EGR2	CEBPB	up-regulates quantity by expression	transcriptional regulation
13030	EGR2	GFI1	down-regulates quantity by repression	transcriptional repression
13033	EGR2	NAB2	up-regulates quantity by expression	transcriptional regulation
13036	EGR3	NAB2	up-regulates quantity by expression	transcriptional regulation
13035	EGR3	NAB2	down-regulates quantity by repression	transcriptional regulation
13037	EHF	DCDC2	down-regulates quantity by repression	transcriptional regulation
13038	EHF	SPRR1B	up-regulates quantity by expression	transcriptional regulation
13101	ELF1	FCER1A	down-regulates quantity by repression	transcriptional regulation
13102	ELF1	IL2RA	up-regulates quantity by expression	transcriptional regulation
13100	ELF1	CD68	up-regulates quantity by expression	transcriptional regulation
13103	ELF2	VCP	up-regulates quantity by expression	transcriptional regulation
3698	ELF3	SPRR2A	up-regulates quantity by expression	transcriptional regulation
3697	ELF3	SPRR1B	up-regulates quantity by expression	transcriptional regulation
13104	ELF3	KRT4	down-regulates quantity by repression	transcriptional regulation
13108	ELF4	MDM2	up-regulates quantity by expression	transcriptional regulation
13105	ELF4	CXCL8	up-regulates quantity by expression	transcriptional regulation
13107	ELF4	LYZ	up-regulates quantity by expression	transcriptional regulation
13110	ELK1	MUC4	up-regulates quantity by expression	transcriptional regulation
13111	ELK1	PRKCA	up-regulates quantity by expression	transcriptional activation
13112	ELK1	PRKCA	up-regulates quantity by expression	transcriptional regulation
13113	ELK3	MYH6	down-regulates quantity by repression	transcriptional regulation
13114	ELK4	INSIG2	up-regulates quantity by expression	transcriptional regulation
13126	EMX1	NRP1	up-regulates quantity by expression	transcriptional regulation
13180	EPAS1	HBA1	up-regulates quantity by expression	transcriptional regulation
13181	EPAS1	HBB	up-regulates quantity by expression	transcriptional regulation
13289	ERG	WNT3A	up-regulates quantity by expression	transcriptional regulation
13271	ERG	CLDN5	up-regulates quantity by expression	transcriptional regulation
13272	ERG	CXCR4	up-regulates quantity by expression	transcriptional regulation
13273	ERG	ENG	up-regulates quantity by expression	transcriptional regulation
13274	ERG	EPB41L3	down-regulates quantity by repression	transcriptional regulation
13275	ERG	EPB41L4B	up-regulates quantity by expression	transcriptional regulation
3726	ERG	WNT11	up-regulates quantity by expression	transcriptional regulation
3725	ERG	VWF	up-regulates quantity by expression	transcriptional regulation
3724	ERG	CXCL8	down-regulates quantity by repression	transcriptional regulation
13276	ERG	ERG	up-regulates quantity by expression	transcriptional regulation
13277	ERG	EZH2	up-regulates quantity by expression	transcriptional regulation
3723	ERG	ADAMTS1	up-regulates quantity by expression	transcriptional regulation
13279	ERG	ICAM2	up-regulates quantity by expression	transcriptional regulation
13280	ERG	MYC	up-regulates quantity by expression	transcriptional regulation
13281	ERG	NKX3-1	down-regulates quantity by repression	transcriptional regulation
13282	ERG	PIM1	up-regulates quantity by expression	transcriptional regulation
13283	ERG	PIM	up-regulates quantity by expression	transcriptional regulation
13284	ERG	SPP1	up-regulates quantity by expression	transcriptional regulation
13285	ERG	TDRD1	up-regulates quantity by expression	transcriptional regulation
13287	ERG	VIM	up-regulates quantity by expression	transcriptional regulation
13288	ERG	WNT1	up-regulates quantity by expression	transcriptional regulation
13278	ERG	ICAM1	down-regulates quantity by repression	transcriptional regulation
13270	ERG	CDH5	up-regulates quantity by expression	transcriptional regulation
14255	ESR1	SCN8A	up-regulates quantity by expression	transcriptional regulation
3748	ESR1	PGR	down-regulates quantity by repression	transcriptional regulation
13434	ESR1	TFF1	up-regulates quantity by expression	transcriptional regulation
13429	ESR1	SCN11A	down-regulates quantity by repression	transcriptional regulation
13430	ESR1	SCN1A	down-regulates quantity by repression	transcriptional regulation
13431	ESR1	SCN5A	down-regulates quantity by repression	transcriptional regulation
13432	ESR1	SCN9A	down-regulates quantity by repression	transcriptional regulation
13433	ESR1	SNAI2	down-regulates quantity by repression	transcriptional regulation
13435	ESR1	TGFA	up-regulates quantity by expression	transcriptional regulation
13436	ESR1	UGT1A4	up-regulates quantity by expression	transcriptional regulation
13428	ESR1	SCN10A	down-regulates quantity by repression	transcriptional regulation
13427	ESR1	PPARG	down-regulates quantity by repression	transcriptional regulation
13423	ESR1	NCOA2	up-regulates quantity by expression	transcriptional regulation
13422	ESR1	MYC	unknown	transcriptional regulation
13421	ESR1	GREB1	up-regulates quantity by expression	transcriptional regulation
13420	ESR1	F12	up-regulates quantity by expression	transcriptional regulation
13418	ESR1	CDKN1A	up-regulates quantity by expression	transcriptional regulation
13417	ESR1	CCND1	up-regulates quantity by expression	transcriptional regulation
13416	ESR1	AR	down-regulates quantity by repression	transcriptional regulation
13424	ESR1	NR0B2	down-regulates quantity by repression	transcriptional regulation
13441	ESR2	SCN9A	down-regulates quantity by repression	transcriptional regulation
3750	ESR2	TFF1	up-regulates quantity by expression	transcriptional regulation
13439	ESR2	SCN11A	down-regulates quantity by repression	transcriptional regulation
13438	ESR2	SCN10A	down-regulates quantity by repression	transcriptional regulation
13437	ESR2	CDKN1A	up-regulates quantity by expression	transcriptional regulation
14256	ESR2	TGFA	up-regulates quantity by expression	transcriptional regulation
13440	ESR2	SCN1A	down-regulates quantity by repression	transcriptional regulation
13445	ESRRA	SNAI1	down-regulates quantity by repression	transcriptional regulation
13442	ESRRA	CYP19A1	up-regulates quantity by expression	transcriptional regulation
13446	ESRRA	SNAI2	down-regulates quantity by repression	transcriptional regulation
13443	ESRRA	NR2F1	down-regulates quantity by repression	transcriptional regulation
13444	ESRRA	NR2F6	down-regulates quantity by repression	transcriptional regulation
13472	ETS1	FOS	up-regulates quantity	transcriptional regulation
13471	ETS1	ECE1	up-regulates quantity by expression	transcriptional regulation
13476	ETS1	MMP13	up-regulates quantity by expression	transcriptional regulation
13477	ETS1	MMP9	up-regulates quantity by expression	transcriptional regulation
13474	ETS1	GP6	up-regulates quantity by expression	transcriptional regulation
13479	ETS1	SLC26A3	up-regulates quantity by expression	transcriptional regulation
13480	ETS1	TBXAS1	up-regulates quantity by expression	transcriptional regulation
13481	ETS1	TNC	up-regulates quantity by expression	transcriptional regulation
13482	ETS1	VWF	up-regulates quantity by expression	transcriptional regulation
13470	ETS1	CD8A	up-regulates quantity by expression	transcriptional regulation
13468	ETS1	ATP2A3	up-regulates quantity by expression	transcriptional regulation
13466	ETS1	ABCB1	up-regulates quantity by expression	transcriptional regulation
13478	ETS1	MUC4	up-regulates quantity by expression	transcriptional regulation
13469	ETS1	BAX	down-regulates quantity by repression	transcriptional regulation
13485	ETS2	IBSP	up-regulates quantity by expression	transcriptional regulation
